square_footage,bedrooms,bathrooms,neighborhood_rating,school_rating,property_age,lot_size,price
3974,4,2,6,6,36,16959,1026138
4307,6,4,1,1,28,24700,990152
1660,1,1,1,3,66,14581,387917
2094,1,1,2,2,14,13199,511592
1930,1,1,6,5,46,7072,566808
1895,1,1,6,6,45,19931,658057
3892,5,4,2,2,51,19128,903239
2438,2,2,1,1,18,13580,574820
2969,4,2,10,10,76,23834,987275
1266,1,1,5,6,20,4675,467668
2038,3,3,5,3,63,16757,621703
1130,1,1,2,1,36,11627,326346
2282,4,3,6,7,26,9792,775754
2935,4,2,9,10,54,12452,934438
4244,6,5,2,2,28,23635,1039329
3971,5,3,10,10,19,21339,1260497
3719,6,5,2,2,24,15469,923542
930,2,1,3,4,69,8103,320416
2485,2,2,7,5,62,20617,748730
4180,6,5,6,4,35,21856,1126448
1569,3,2,8,10,1,14687,808898
3191,5,3,8,6,21,23528,1028429
2315,4,2,6,7,15,10815,776787
4285,5,3,10,10,17,23056,1336043
3653,6,5,3,3,68,16634,880914
3233,4,3,3,1,53,25150,789720
2015,2,1,1,1,29,23137,508255
1755,3,3,7,5,44,8520,618101
3124,5,3,5,5,18,13803,893765
1984,2,1,4,6,33,6035,553115
1259,1,1,10,10,12,16703,743183
4185,4,3,4,3,42,11907,955869
821,1,1,4,5,61,20423,360552
3100,4,3,6,4,21,19749,906141
1547,3,3,8,10,51,10774,721204
3704,5,4,8,9,51,18155,1077124
4432,5,4,5,5,35,25980,1167243
1274,1,1,6,8,72,7489,481243
1882,3,2,4,5,18,16613,664613
3358,5,3,9,10,37,15783,1078655
2847,4,2,8,7,69,17845,861125
4347,6,4,10,9,78,28679,1281030
3547,4,3,10,8,56,26958,1154913
1775,1,1,1,1,19,20676,485901
2606,3,2,2,1,8,22825,695010
989,1,1,9,10,31,10425,617791
3805,5,3,8,7,3,15109,1141318
3534,6,4,3,1,49,15341,879178
3805,4,2,8,7,4,10909,1080035
1362,1,1,1,1,19,11425,358614
2699,4,3,10,10,74,12392,920731
